,機關名稱,子目名稱,"('期初轉入數', 106)","('期初轉入數', 107)","('期初轉入數', 108)","('支用數', 106)","('支用數', 107)","('支用數', 108)",106支用率,107支用率,108支用率
8241,花蓮縣立鳳林國民中學,應付代收款-教育儲蓄專戶-陳秋蘭等捐助,0.0,0.0,48945.0,0.0,0.0,0.0,0.0,0.0,0.0
8282,花蓮縣立鳳林國民中學,應付代收款-非政府機關委託補助-世界展望會,30000.0,0.0,52500.0,0.0,0.0,0.0,0.0,0.0,0.0
8291,花蓮縣立鳳林國民中學,應付代收款-非政府機關委託補助-蘋果慈善助學金,30000.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0
8303,花蓮縣立鳳林國民中學,應付代收款-非政政府機關委託補助-青少年助學金,79900.0,0.0,79900.0,0.0,0.0,0.0,0.0,0.0,0.0
8390,花蓮縣花蓮市中原國民小學,應付代收款-非政府機關委託補助-仁愛基金,44041.0,136976.0,128141.0,0.0,10000.0,5000.0,0.0,0.07300549001284896,0.039019517562684854
8409,花蓮縣花蓮市中正國民小學,應付代收款-代收代付-仁愛基金,482453.0,588908.0,1618764.0,8555.0,20144.0,0.0,0.017732297239316575,0.03420568238162837,0.0
8422,花蓮縣花蓮市中正國民小學,應付代收款-代收代付-台北市西區獅子會清寒獎學金,150000.0,150000.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0
8425,花蓮縣花蓮市中正國民小學,應付代收款-代收代付-吳木川校長獎學金,77000.0,74000.0,71000.0,3000.0,3000.0,3000.0,0.03896103896103896,0.04054054054054054,0.04225352112676056
8433,花蓮縣花蓮市中正國民小學,應付代收款-代收代付-提拉米蘇蛋糕店捐助值夜人員年終獎金每年1萬元,60000.0,60000.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0
8446,花蓮縣花蓮市中正國民小學,應付代收款-代收代付-羅敏華捐贈本校款,3000.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
8452,花蓮縣花蓮市中正國民小學,應付代收款-代收代付-郭木釧捐贈本校國樂社,6610.0,6610.0,6610.0,0.0,0.0,0.0,0.0,0.0,0.0
8538,花蓮縣花蓮市中華國民小學,應付代收款-代收代付-仁愛基金,535943.0,534303.0,513951.0,7000.0,45890.0,0.0,0.013061090451783119,0.08588759561522208,0.0
8618,花蓮縣花蓮市信義國民小學,應付代收款-其他-仁愛基金,44187.0,42387.0,42651.0,1800.0,0.0,0.0,0.04073596306606015,0.0,0.0
8656,花蓮縣花蓮市信義國民小學,應付代收款-非政府機關委託補助-圖書館經費,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
8669,花蓮縣花蓮市北濱國民小學,應付代收款-其他-捐款-余月裡女士獎助學金,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
